,ranker,player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,matches
198,,Olivier Giroud,fr FRA,FW,Arsenal,29,1986,29,11,"1,206",12,3,0,0,2,0,0.90,0.22,1.12,0.90,1.12,/en/players/16ceb862/matchlogs/2016-2017/Olivier-Giroud-Match-Logs
199,,Shay Given,ie IRL,GK,Stoke City,40,1976,5,5,450,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,/en/players/0db918ff/matchlogs/2016-2017/Shay-Given-Match-Logs
200,,Evandro Goebel,br BRA,MF,Hull City,29,1986,11,7,576,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,/en/players/67dbadfc/matchlogs/2016-2017/Evandro-Goebel-Match-Logs
201,,Angel Gomes,eng ENG,MF,Manchester Utd,15,2000,1,0,3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,/en/players/645a3363/matchlogs/2016-2017/Angel-Gomes-Match-Logs
202,,Heurelho Gomes,br BRA,GK,Watford,35,1981,38,38,"3,337",0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,/en/players/d596e193/matchlogs/2016-2017/Heurelho-Gomes-Match-Logs
203,,Lynden Gooch,us USA,MF,Sunderland,20,1995,11,4,366,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,/en/players/1ea00b03/matchlogs/2016-2017/Lynden-Gooch-Match-Logs
204,,Dan Gosling,eng ENG,MF,Bournemouth,26,1990,27,14,"1,366",2,0,0,0,6,0,0.13,0.00,0.13,0.13,0.13,/en/players/7fec31a0/matchlogs/2016-2017/Dan-Gosling-Match-Logs
205,,Lewis Grabban,eng ENG,"FW,MF",Bournemouth,28,1988,3,0,60,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,/en/players/1a857282/matchlogs/2016-2017/Lewis-Grabban-Match-Logs
206,,Max Gradel,ci CIV,"FW,MF",Bournemouth,28,1987,11,0,134,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,/en/players/c5a500ca/matchlogs/2016-2017/Max-Gradel-Match-Logs
207,,Lee Grant,eng ENG,GK,Stoke City,33,1983,28,28,"2,520",0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,/en/players/9dab6e3b/matchlogs/2016-2017/Lee-Grant-Match-Logs
208,,Andre Gray,eng ENG,FW,Burnley,25,1991,32,26,"2,259",9,3,2,2,2,0,0.36,0.12,0.48,0.28,0.40,/en/players/c24dba2a/matchlogs/2016-2017/Andre-Gray-Match-Logs
209,,Demarai Gray,eng ENG,"MF,FW",Leicester City,20,1996,30,9,"1,049",1,3,0,0,2,0,0.09,0.26,0.34,0.09,0.34,/en/players/4468ec10/matchlogs/2016-2017/Demarai-Gray-Match-Logs
210,,Kamil Grosicki,pl POL,MF,Hull City,28,1988,15,12,"1,143",0,3,0,0,1,0,0.00,0.24,0.24,0.00,0.24,/en/players/81d8091f/matchlogs/2016-2017/Kamil-Grosicki-Match-Logs
211,,Marko Grujić,rs SRB,MF,Liverpool,20,1996,5,0,43,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,/en/players/8b8e759d/matchlogs/2016-2017/Marko-Grujic-Match-Logs
212,,Adlène Guedioura,dz ALG,MF,Watford,30,1985,12,9,721,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,/en/players/f75825e3/matchlogs/2016-2017/Adlene-Guedioura-Match-Logs
213,,Adlène Guedioura,dz ALG,MF,Middlesbrough,30,1985,5,0,140,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,/en/players/f75825e3/matchlogs/2016-2017/Adlene-Guedioura-Match-Logs
214,,İlkay Gündoğan,de GER,MF,Manchester City,25,1990,10,9,704,3,1,0,0,0,0,0.38,0.13,0.51,0.38,0.51,/en/players/819b3158/matchlogs/2016-2017/Ilkay-Gundogan-Match-Logs
215,,Brad Guzan,us USA,GK,Middlesbrough,31,1984,10,10,900,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,/en/players/d899e3bf/matchlogs/2016-2017/Brad-Guzan-Match-Logs
216,,Josh Harrop,eng ENG,FW,Manchester Utd,20,1995,1,1,90,1,0,0,0,0,0,1.00,0.00,1.00,1.00,1.00,/en/players/00e1cf8f/matchlogs/2016-2017/Josh-Harrop-Match-Logs
